aperture           f1       f2_source   f2_slit   f2_numeric     fwhm    sigma   fwhm_refined
145.5  5  23.0547  24.5441  23.0879  3.91  23.3221    4.30116
145.5  6  22.9901  24.4932  23.0879  3.91  23.0884    5.08319
145.5  7  22.922  24.4366  22.7582  3.91  21.1351    5.08319
145.5  8  22.8502  24.3733  22.7582  3.91  21.3699    5.08319
145.5  9  22.7742  24.302  22.7582  5.474  20.7585    5.08319
145.5  10  22.6937  24.221  22.7582  5.474  20.4625    5.08319
145.5  11  22.6084  24.1283  22.4286  5.474  19.899    5.86522
145.5  12  22.5176  24.0211  22.4286  5.474  19.1958    5.86522
145.5  13  22.4211  23.8957  22.4286  7.038  17.2566    6.64725
145.5  14  22.318  23.7471  22.4286  7.038  16.5749    7.42928
145.5  15  22.2078  23.5681  22.0989  7.038  14.4839    8.21131
145.5  16  22.0897  23.3485  22.0989  8.602  13.3038    8.60233
145.5  17  21.9628  23.0725  22.0989  10.166  11.9439    10.1664
145.5  18  21.8261  22.7152  21.7692  10.166  11.0417    10.1664
145.5  19  21.6784  22.2347  21.4396  11.73  11.6494    11.3394
145.5  20  21.5183  21.5537  21.4396  11.73  11.9861    12.9035
145.5  21  21.3443  20.5138  21.4396  14.076  12.8293    14.4676
145.5  22  21.1543  18.7299  21.1099  14.858  13.6235    16.0316
145.5  23  20.9461  14.9582  21.1099  17.204  14.7041    17.5957
145.5  24  20.717  1.69811  20.7802  19.55  15.8127    19.1597
145.5  25  20.4636  117.805  20.7802  21.114  16.9516    21.5058
145.5  26  20.1818  41.2033  20.4505  22.678  18.0253    23.4609
145.5  27  19.8667  34.0816  20.4505  25.024  18.7473    25.416
145.5  28  19.5118  31.4041  20.4505  27.37  19.8322    27.7621
145.5  29  19.1092  30  20.4505  28.934  20.9504    29.7171
145.5  30  18.6486  29.1354  20.4505  32.062  22.1138    31.6722
145.5  31  18.1165  28.5496  20.4505  33.626  23.2828    34.0183
145.5  32  17.4947  28.1263  20.4505  35.19  24.3998    36.3644
145.5  33  16.7586  27.8062  20.7802  36.754  25.0963    37.9285
145.5  34  15.8734  27.5557  20.4505  39.882  26.4869    40.2745
145.5  35  14.7887  27.3542  20.7802  41.446  26.8147    41.8386
145.5  36  13.4286  27.1888  21.1099  44.574  26.9164    44.5757
145.5  37  11.6727  27.0504  20.7802  46.138  28.1454    45.7488
145.5  38  9.31915  26.933  21.1099  47.702  27.9185    48.0948
145.5  39  6  26.8321  21.1099  49.266  28.3718    49.6589
145.5  40  0.967742  26.7445  21.1099  51.612  28.8566    52.005
145.5  41  nan  26.6677  33.6374  48.484  27.4112    48.8769
145.5  42  nan  26.5998  32.3187  44.574  25.2773    45.7488
145.5  43  nan  26.5394  31.989  41.446  24.1733    41.4476
145.5  44  786  26.4853  31.6593  38.318  23.1302    38.7105
145.5  45  110  26.4365  30.6703  36.754  21.6178    37.1464
145.5  46  70.2353  26.3924  30.3407  33.626  20.7106    34.8003
145.5  47  55.92  26.3522  30.011  32.062  19.9186    32.4542
145.5  48  48.5455  26.3154  29.6813  30.498  19.3313    30.8902
145.5  49  44.0488  26.2818  29.3516  28.934  18.6183    30.1082
145.5  50  41.0204  26.2507  29.3516  28.934  18.185    28.5441
145.5  51  38.8421  26.2221  29.022  27.37  17.6282    27.7621
145.5  52  37.2  26.1956  29.022  27.37  17.4841    26.98
145.5  53  35.9178  26.1709  28.6923  25.806  16.9256    26.198
145.5  54  34.8889  26.1479  28.6923  25.806  16.6398    25.807
145.5  55  34.0449  26.1265  28.033  24.242  15.9049    24.6339
145.5  56  33.3402  26.1064  28.033  23.46  15.7842    23.8519
145.5  57  32.7429  26.0876  27.7033  22.678  15.422    23.8519
145.5  58  32.2301  26.0699  27.7033  22.678  15.1741    23.0699
145.5  59  31.7851  26.0532  27.7033  21.114  14.9803    22.2879
145.5  60  31.3953  26.0375  27.3736  21.114  14.7748    22.2879
145.5  61  31.0511  26.0226  27.3736  21.114  14.7337    21.5058
145.5  62  30.7448  26.0086  27.3736  21.114  14.6125    20.7238
145.5  63  30.4706  25.9953  27.3736  19.55  14.3954    20.7238
145.5  64  30.2236  25.9827  27.3736  19.55  14.1788    19.9418
145.5  65  30  25.9707  27.044  19.55  13.913    19.9418
145.5  66  29.7966  25.9592  27.044  19.55  13.9368    19.1597
145.5  67  29.6108  25.9483  27.044  17.986  13.9945    19.1597
145.5  68  29.4404  25.938  27.044  17.986  13.976    18.3777
145.5  69  29.2836  25.9281  27.044  17.986  13.8476    18.3777
145.5  70  29.1388  25.9186  27.044  17.986  13.6562    18.3777
145.5  71  29.0046  25.9095  27.044  17.986  13.4839    18.3777
145.5  72  28.88  25.9009  27.044  17.986  13.3905    18.3777
145.5  73  28.7639  25.8925  26.7143  16.422  13.2404    17.5957
145.5  74  28.6556  25.8846  26.7143  16.422  13.2827    16.8136
145.5  75  28.5542  25.8769  26.7143  16.422  13.3319    16.8136
145.5  76  28.4591  25.8695  26.7143  16.422  13.3444    16.8136
145.5  77  28.3698  25.8625  26.7143  16.422  13.3044    16.8136
145.5  78  28.2857  25.8557  26.7143  16.422  13.2213    16.4226
145.5  79  28.2064  25.8491  26.7143  16.422  13.1185    16.4226
145.5  80  28.1315  25.8428  26.7143  16.422  13.0202    16.4226
145.5  81  28.0606  25.8367  26.7143  16.422  12.9427    16.4226
145.5  82  27.9934  25.8308  26.7143  16.422  12.8914    16.4226
